outcome,event_time,att,se,n_groups
Import cost (log),-8,0.17119685409721103,0.1,1
Import cost (log),-7,0.16311941696200705,0.0027499817971711154,2
Import cost (log),-6,0.06531262171345932,0.1845351169638404,3
Import cost (log),-5,-0.3188899935179244,0.15843474166308133,4
Import cost (log),-4,0.058248278125677996,0.13690562140525517,5
Import cost (log),-3,0.07338284385633262,0.0934051747559744,5
Import cost (log),-2,-0.020104273362065182,0.16170251848179143,5
Import cost (log),-1,-0.04082168627055728,0.0518755001526041,5
Import cost (log),0,0.2861910166780974,0.1798182569236791,5
Import cost (log),1,0.4339400319579646,0.4831016038747853,4
Import cost (log),2,0.8583164986461079,0.7470249797943646,3
Import cost (log),3,0.30666780291425333,0.40523017408573225,2
Import cost (log),4,-0.2624201654127343,0.1,1
GDI (Source Diversity),-8,0.002022872446651438,0.1,1
GDI (Source Diversity),-7,-0.011363017158393194,0.010083295706843425,2
GDI (Source Diversity),-6,-0.00020416152365119837,0.0037276129764202514,3
GDI (Source Diversity),-5,-0.00157817032250963,0.002589648859749446,4
GDI (Source Diversity),-4,-0.010354740148192427,0.0061064468832211505,5
GDI (Source Diversity),-3,0.006292223399956244,0.006535139723199427,5
GDI (Source Diversity),-2,-0.005515245156980527,0.004674629401546319,5
GDI (Source Diversity),-1,-0.0016455995811821638,0.013229389492048025,5
GDI (Source Diversity),0,-0.0001390966609326319,0.012778443386533023,5
GDI (Source Diversity),1,-0.010413926643223175,0.02912598565646922,4
GDI (Source Diversity),2,-0.023324263890983216,0.033254209717513014,3
GDI (Source Diversity),3,0.01658026534695964,0.004157107035316583,2
GDI (Source Diversity),4,0.05357176337574222,0.1,1
Dev-Country Import Share (GEI),-8,0.0004965834187171806,0.1,1
Dev-Country Import Share (GEI),-7,-0.0014461658520608601,0.0034501383975040455,2
Dev-Country Import Share (GEI),-6,0.015398125184238498,0.002829200639542319,3
Dev-Country Import Share (GEI),-5,-0.0026108678291431645,0.005870240811955202,4
Dev-Country Import Share (GEI),-4,0.0005912542289643879,0.012609141148704166,5
Dev-Country Import Share (GEI),-3,0.014076321147017715,0.005410526327841854,5
Dev-Country Import Share (GEI),-2,-0.003103282714301356,0.015712750744711654,5
Dev-Country Import Share (GEI),-1,-0.0049953524617083024,0.016580270667026942,5
Dev-Country Import Share (GEI),0,0.0020419173951060367,0.010478189223054019,5
Dev-Country Import Share (GEI),1,0.009975757431756363,0.02475331862765768,4
Dev-Country Import Share (GEI),2,0.029895616065174255,0.02658492390199571,3
Dev-Country Import Share (GEI),3,-0.004120575439160435,0.030600893112366027,2
Dev-Country Import Share (GEI),4,-0.018857978565061644,0.1,1
