outcome,cohort,att,se,n_periods
Import cost (log),2020,-0.08879023437497532,0.09011680080825502,9
Import cost (log),2021,0.5721104539003948,0.36198825945366825,9
Import cost (log),2022,-0.01628182363693276,0.054505880801707624,9
Import cost (log),2023,0.04556828119650017,0.034668484048731296,9
Import cost (log),2024,0.13893993829426718,0.1449788527222751,9
GDI (Source Diversity),2020,0.01069392069848664,0.006001419787900469,9
GDI (Source Diversity),2021,-0.0026199456762448278,0.009464306075063517,9
GDI (Source Diversity),2022,-0.030820726625059573,0.014108360818763273,9
GDI (Source Diversity),2023,0.006771982452976934,0.004217575010881129,9
GDI (Source Diversity),2024,0.003826233300511338,0.007004838194500075,9
Dev-Country Import Share (GEI),2020,0.005495958111051661,0.01132643335125648,9
Dev-Country Import Share (GEI),2021,-0.003938761936083647,0.011540095313339152,9
Dev-Country Import Share (GEI),2022,0.027357474652250816,0.011495030901048982,9
Dev-Country Import Share (GEI),2023,-0.004671903463045543,0.004666726515750295,9
Dev-Country Import Share (GEI),2024,-0.004364968208029242,0.00810031771529112,9
